name,owner,repo_name,stars,created_at,updated_at,primary_language,releases,open_issues,closed_issues,closed_issues_ratio,merged_pull_requests,age_years,days_since_update
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,426200,2014-12-24T17:49:19Z,2025-08-22T16:28:08Z,TypeScript,0,194,19637,0.99,25730,10.66,0
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,412984,2018-05-09T12:03:18Z,2025-08-22T17:13:34Z,Markdown,0,229,595,0.72,142,7.29,0
sindresorhus/awesome,sindresorhus,awesome,394042,2014-07-11T13:42:37Z,2025-08-22T17:13:49Z,Unknown,0,13,340,0.96,679,11.12,0
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,365739,2013-10-11T06:50:37Z,2025-08-22T17:14:40Z,Python,0,31,1150,0.97,6820,11.86,0
public-apis/public-apis,public-apis,public-apis,362402,2016-03-20T23:49:42Z,2025-08-22T17:14:30Z,Python,0,8,704,0.99,1872,9.42,0
kamranahmedse/developer-roadmap,kamranahmedse,developer-roadmap,334322,2017-03-15T13:45:52Z,2025-08-22T17:12:08Z,TypeScript,1,248,2693,0.92,3694,8.44,0
jwasham/coding-interview-university,jwasham,coding-interview-university,324670,2016-06-06T02:34:12Z,2025-08-22T14:53:21Z,Unknown,0,63,453,0.88,415,9.21,0
donnemartin/system-design-primer,donnemartin,system-design-primer,317048,2017-02-26T16:15:28Z,2025-08-22T17:14:54Z,Python,0,248,91,0.27,200,8.48,0
996icu/996.ICU,996icu,996.ICU,274130,2019-03-26T07:31:14Z,2025-08-22T16:27:28Z,Unknown,0,0,0,0.0,1071,6.41,0
vinta/awesome-python,vinta,awesome-python,256212,2014-06-27T21:00:06Z,2025-08-22T17:10:44Z,Python,0,0,0,0.0,544,11.15,0
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,243152,2015-06-01T02:33:17Z,2025-08-22T17:00:53Z,Unknown,1,0,806,1.0,2394,10.23,0
practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,240636,2017-04-12T05:07:46Z,2025-08-22T17:13:59Z,Unknown,0,131,79,0.38,182,8.36,0
facebook/react,facebook,react,238317,2013-05-24T16:15:54Z,2025-08-22T17:11:40Z,JavaScript,105,800,13196,0.94,12131,12.25,0
vuejs/vue,vuejs,vue,209292,2013-07-29T03:24:51Z,2025-08-22T14:01:30Z,TypeScript,249,355,9673,0.96,1133,12.07,0
TheAlgorithms/Python,TheAlgorithms,Python,204269,2016-07-16T09:44:01Z,2025-08-22T17:13:58Z,Python,0,76,1511,0.95,2976,9.1,0
torvalds/linux,torvalds,linux,200456,2011-09-04T22:48:12Z,2025-08-22T17:12:34Z,C,0,0,0,0.0,10,13.96,0
trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,193051,2018-03-24T07:47:04Z,2025-08-22T17:06:13Z,JavaScript,0,137,229,0.63,302,7.41,0
tensorflow/tensorflow,tensorflow,tensorflow,191277,2015-11-07T01:19:20Z,2025-08-22T16:57:46Z,C++,219,902,39840,0.98,36018,9.79,0
ossu/computer-science,ossu,computer-science,190806,2014-05-04T00:18:39Z,2025-08-22T17:13:52Z,HTML,0,14,638,0.98,298,11.3,0
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,183250,2018-06-23T10:43:14Z,2025-08-22T17:00:34Z,Unknown,0,0,0,0.0,122,7.16,0
getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,183000,2013-11-16T02:37:24Z,2025-08-22T15:54:02Z,Unknown,0,81,863,0.91,368,11.76,0
CyC2018/CS-Notes,CyC2018,CS-Notes,181536,2018-02-13T14:56:24Z,2025-08-22T17:04:52Z,Unknown,0,123,448,0.78,374,7.52,0
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,180875,2009-08-28T18:15:37Z,2025-08-22T15:41:52Z,Shell,0,140,4824,0.97,3377,15.98,0
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,177995,2023-03-16T09:21:07Z,2025-08-22T17:07:48Z,Python,68,162,3232,0.95,3199,2.44,0
microsoft/vscode,microsoft,vscode,175983,2015-09-03T20:23:38Z,2025-08-22T17:12:12Z,TypeScript,177,12103,193390,0.94,36261,9.97,0
